,equity
0,-82.28
1,-202.18
2,-305.38
3,-116.81
4,-211.96
5,-250.46
6,-174.14
7,-234.62
8,-291.82
9,-366.16
10,-188.85
11,-407.87
12,-665.71
13,-691.27
14,-725.35
15,-722.47
16,-965.35
17,-1149.85
18,-697.35
19,-128.35
20,-140.08
21,282.89
22,53.81
23,22.49
24,168.69
25,1352.91
26,1751.43
27,2196.05
28,2072.34
29,2013.38
30,2288.27
31,2635.27
32,2805.02
33,2857.67
34,2676.83
