,equity
0,-47.0
1,87.52
2,460.4
3,332.4
4,385.53
5,358.23
6,230.09
7,140.42
8,-130.93
9,249.03
10,154.31
11,584.6
12,717.77
13,1267.13
14,1394.41
15,1688.71
16,1423.36
17,1343.26
18,1529.82
19,1418.5
20,1418.5
21,1480.14
22,2112.84
23,1779.84
24,2014.17
25,2235.65
26,2990.03
27,2997.23
28,3071.71
29,2864.01
30,2767.29
