,equity
0,106.2
1,69.08
2,25.58
3,-22.6
4,68.92
5,246.46
6,263.62
7,215.88
8,196.19
9,177.05
10,123.89
11,82.85
12,55.37
13,15.53
14,15.89
15,6.41
16,-8.02
17,112.62
18,229.36
19,632.7
20,746.3
21,992.8
22,1159.75
23,1151.59
24,1441.67
25,1738.49
26,2027.21
27,1969.92
28,2063.25
29,2047.78
30,2260.74
31,2215.18
32,2301.37
33,2274.19
34,2245.21
35,2286.79
36,2311.49
37,2249.74
38,2205.47
39,2170.89
40,2100.21
41,2263.8
42,2168.1
43,2434.74
44,2414.94
