,equity
0,-73.12
1,-102.82
2,-61.27
3,-90.07
4,-19.12
5,-41.17
6,-24.82
7,-72.07
8,-16.63
9,-40.29
10,-57.45
11,-50.56
12,-70.32
13,-85.56
14,-150.0
15,-182.4
16,-248.18
17,-279.86
18,-311.21
19,-361.04
20,-382.49
21,-304.28
22,-285.25
23,-305.27
24,-351.14
25,-399.63
26,-439.8
27,-154.2
28,-203.48
29,-257.71
30,-176.11
31,251.73
32,526.62
33,701.4
34,691.06
